                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5925,                 2.2393,                 1.4334,                0.95433,                0.27909,                0.59353,                0.35517,                 1.2565,                 2.1123,                 1.2727,             0.00046783,             0.00046783,             0.00046783
                      2,                 1.3646,                 1.3543,                   1.26,                0.64848,                0.76348,                0.75936,                0.44009,                  1.318,                 1.4243,                 1.2321,             0.00093481,             0.00093481,             0.00093481
                      3,                 1.3341,                 1.2729,                  1.242,                0.58616,                0.70542,                0.63487,                 0.3364,                 1.6944,                 1.6069,                 1.4557,              0.0013924,              0.0013924,              0.0013924
                      4,                 1.3116,                 1.1667,                 1.2374,                0.72187,                0.74612,                0.74991,                0.41817,                 1.3977,                  1.163,                 1.3281,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.3129,                 1.1543,                 1.2417,                0.73174,                  0.775,                 0.7785,                0.43446,                 1.3937,                 1.2024,                 1.3069,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.3054,                 1.0768,                 1.2161,                0.62221,                0.78468,                0.73503,                0.43593,                 1.3063,                 1.0949,                 1.2455,              0.0013583,              0.0013583,              0.0013583
                      7,                  1.266,                 1.0342,                 1.2245,                 0.7525,                0.82818,                0.81598,                 0.4728,                 1.2914,                 1.0982,                 1.2737,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.2623,                 1.0062,                 1.2094,                0.77529,                0.79459,                0.80176,                0.48146,                 1.2874,                 1.0166,                 1.2321,                0.00133,                0.00133,                0.00133
                      9,                 1.2672,                 1.0026,                 1.2057,                0.72846,                 0.8462,                0.80538,                0.48263,                 1.2493,                 1.1089,                 1.2275,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.2384,                 0.9478,                 1.1849,                0.76216,                0.79104,                0.78795,                0.47387,                 1.2709,                 1.0392,                 1.2431,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.2322,                0.93224,                 1.1787,                0.77515,                0.85448,                0.82286,                0.48781,                 1.2502,                 1.0099,                 1.2292,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.2331,                0.95117,                 1.1852,                0.69718,                0.80354,                0.78958,                0.47075,                 1.2671,                 1.0439,                 1.2517,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.2289,                0.93731,                  1.189,                0.76123,                0.85652,                0.80258,                0.48331,                 1.2352,                0.99006,                 1.2233,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.2273,                0.90694,                 1.1718,                0.76948,                0.78654,                0.77349,                0.45211,                 1.2594,                 1.0325,                 1.2235,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.2131,                 0.8999,                  1.165,                 0.7535,                0.86312,                0.84807,                0.49675,                   1.25,                 1.0101,                 1.2268,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.1921,                0.87629,                 1.1727,                0.81866,                0.83924,                0.84624,                 0.5038,                 1.2611,                0.90401,                 1.2104,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.1934,                0.88098,                 1.1621,                0.78427,                0.85898,                0.82302,                0.50288,                 1.2482,                0.92798,                 1.2099,              0.0012026,              0.0012026,              0.0012026
                     18,                  1.205,                0.84886,                 1.1702,                 0.7627,                0.87818,                0.81455,                0.48675,                 1.2177,                0.98428,                 1.1954,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.1881,                0.85975,                 1.1723,                0.78439,                0.85731,                0.83401,                0.52529,                 1.1722,                0.87998,                 1.1758,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.1847,                0.83728,                 1.1624,                 0.8073,                0.87135,                0.84224,                0.52811,                 1.1917,                0.86788,                 1.1656,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.1799,                0.84695,                 1.1667,                0.78023,                0.87504,                 0.8336,                0.51538,                 1.2159,                0.85515,                 1.1674,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.1777,                0.84293,                 1.1565,                0.78997,                0.86455,                0.81559,                0.48307,                 1.2429,                0.94798,                 1.2076,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.1659,                0.83722,                 1.1573,                0.80635,                0.88377,                0.83967,                0.52512,                 1.1664,                 0.8595,                 1.1627,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.1757,                  0.812,                 1.1566,                0.78232,                0.86026,                0.82567,                0.49194,                 1.1993,                0.91382,                 1.1832,              0.0011036,              0.0011036,              0.0011036
                     25,                 1.1548,                0.79866,                 1.1444,                0.79425,                 0.8671,                0.85679,                0.52968,                 1.2088,                0.93006,                 1.2018,              0.0010895,              0.0010895,              0.0010895
                     26,                 1.1385,                0.79595,                 1.1422,                0.80213,                0.88014,                0.85806,                0.51951,                 1.1865,                0.90582,                 1.1735,              0.0010753,              0.0010753,              0.0010753
                     27,                 1.1507,                0.78857,                 1.1408,                0.81528,                0.87274,                0.85379,                0.53036,                 1.1789,                0.87766,                 1.1709,              0.0010612,              0.0010612,              0.0010612
                     28,                 1.1528,                0.80331,                  1.138,                0.81736,                0.87413,                0.84073,                0.52104,                 1.2125,                0.87645,                 1.1918,               0.001047,               0.001047,               0.001047
                     29,                 1.1276,                0.76783,                 1.1345,                0.81782,                0.87432,                0.83941,                 0.5196,                  1.195,                 0.8716,                 1.1844,              0.0010329,              0.0010329,              0.0010329
                     30,                 1.1335,                0.76827,                 1.1292,                0.76258,                0.86559,                0.82801,                0.51231,                 1.1971,                0.91607,                 1.1639,              0.0010187,              0.0010187,              0.0010187
                     31,                 1.1274,                0.77338,                 1.1356,                  0.825,                0.86774,                0.85029,                0.52806,                  1.178,                 0.8582,                 1.1522,              0.0010046,              0.0010046,              0.0010046
                     32,                 1.1324,                0.76126,                 1.1377,                0.79845,                0.87504,                0.84556,                0.51791,                 1.1949,                 0.9211,                  1.166,             0.00099044,             0.00099044,             0.00099044
                     33,                 1.1349,                0.74713,                 1.1369,                0.83269,                0.88694,                0.84959,                0.53822,                 1.1625,                0.82344,                 1.1574,             0.00097629,             0.00097629,             0.00097629
                     34,                 1.1264,                0.75311,                 1.1384,                0.80097,                0.88851,                 0.8579,                0.53434,                 1.1965,                0.85426,                 1.1674,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.1142,                0.75111,                 1.1359,                0.79703,                 0.8805,                0.84619,                0.54309,                 1.1492,                0.85115,                 1.1357,               0.000948,               0.000948,               0.000948
                     36,                  1.125,                0.76205,                 1.1388,                 0.7667,                0.88597,                0.83938,                 0.5205,                 1.2149,                0.92763,                 1.2008,             0.00093385,             0.00093385,             0.00093385
                     37,                  1.116,                0.74101,                 1.1222,                0.76991,                0.87234,                0.84927,                0.53319,                 1.1793,                0.85999,                 1.1656,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.1152,                0.73991,                 1.1306,                0.82015,                0.83984,                0.83584,                0.49662,                 1.2677,                 0.9125,                 1.2037,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.1336,                0.75507,                 1.1339,                0.81563,                0.86324,                0.84673,                 0.5356,                 1.1865,                0.87433,                 1.1597,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.1073,                0.73606,                 1.1248,                0.80369,                0.89063,                0.85777,                0.53586,                 1.1462,                0.82887,                 1.1462,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.0949,                0.72213,                  1.119,                 0.8064,                0.87498,                0.86328,                0.54723,                 1.1688,                0.81327,                 1.1352,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.0979,                0.72327,                 1.1166,                0.80447,                0.88487,                0.84868,                  0.525,                 1.1897,                0.85692,                 1.1586,             0.00084897,             0.00084897,             0.00084897
                     43,                 1.0913,                0.72396,                 1.1135,                0.80549,                0.88578,                0.84601,                0.53726,                 1.1584,                0.80698,                 1.1485,             0.00083482,             0.00083482,             0.00083482
                     44,                 1.0957,                0.71582,                 1.1182,                 0.8054,                0.88714,                0.86334,                 0.5462,                 1.1818,                0.81192,                 1.1607,             0.00082067,             0.00082067,             0.00082067
                     45,                 1.0996,                0.72358,                 1.1217,                0.78906,                0.86194,                0.78985,                0.47295,                 1.2176,                0.95126,                 1.1884,             0.00080653,             0.00080653,             0.00080653
                     46,                 1.0863,                0.71548,                 1.1129,                0.82476,                0.87225,                0.84474,                0.52048,                 1.1842,                0.85587,                 1.1721,             0.00079238,             0.00079238,             0.00079238
                     47,                 1.0964,                0.71289,                 1.1179,                0.81619,                0.88871,                0.85497,                0.53075,                 1.1619,                0.82557,                 1.1575,             0.00077823,             0.00077823,             0.00077823
                     48,                 1.0894,                0.70771,                 1.1058,                0.81589,                0.87604,                0.84308,                 0.5217,                  1.172,                0.86257,                 1.1618,             0.00076409,             0.00076409,             0.00076409
                     49,                 1.0905,                0.71356,                 1.1173,                0.80518,                0.87681,                0.82378,                0.49703,                 1.2145,                0.86979,                 1.1965,             0.00074994,             0.00074994,             0.00074994
                     50,                 1.0679,                0.68483,                 1.0954,                0.78718,                0.88367,                0.84845,                0.52633,                 1.1894,                 0.8988,                 1.1739,             0.00073579,             0.00073579,             0.00073579
                     51,                 1.0926,                0.70526,                 1.1193,                0.83101,                0.88858,                 0.8519,                0.53388,                 1.1727,                0.81257,                 1.1733,             0.00072164,             0.00072164,             0.00072164
                     52,                 1.0601,                0.68896,                 1.0961,                0.81305,                 0.8797,                 0.8543,                0.54509,                 1.1594,                0.84085,                 1.1378,              0.0007075,              0.0007075,              0.0007075
                     53,                 1.0776,                0.68789,                  1.111,                 0.8131,                0.89355,                0.84197,                0.51767,                 1.1736,                0.83479,                 1.1527,             0.00069335,             0.00069335,             0.00069335
                     54,                  1.086,                0.70258,                 1.1207,                0.79887,                0.87397,                0.83793,                0.52531,                 1.1452,                0.84633,                 1.1465,              0.0006792,              0.0006792,              0.0006792
                     55,                 1.0687,                0.68033,                 1.1092,                0.80654,                0.88327,                0.85651,                0.54244,                 1.1525,                0.84517,                 1.1537,             0.00066506,             0.00066506,             0.00066506
                     56,                 1.0658,                0.69378,                 1.1072,                0.81284,                0.87906,                0.83783,                0.53042,                 1.1499,                0.81166,                 1.1594,             0.00065091,             0.00065091,             0.00065091
                     57,                 1.0704,                0.67241,                 1.0987,                0.80011,                0.88501,                0.83047,                0.51532,                 1.1935,                0.84579,                 1.1829,             0.00063676,             0.00063676,             0.00063676
                     58,                 1.0741,                 0.6763,                 1.0987,                0.82234,                0.88228,                0.84574,                0.52591,                 1.1699,                0.82588,                 1.1527,             0.00062262,             0.00062262,             0.00062262
                     59,                 1.0556,                0.66529,                 1.0967,                0.81247,                0.87748,                0.82576,                0.51424,                 1.1896,                0.84261,                 1.1426,             0.00060847,             0.00060847,             0.00060847
                     60,                  1.051,                0.65891,                   1.09,                0.80892,                0.88275,                0.83922,                 0.5321,                 1.1732,                0.82028,                 1.1437,             0.00059432,             0.00059432,             0.00059432
                     61,                 1.0503,                0.64875,                 1.0949,                0.80253,                0.88199,                0.84335,                0.52746,                 1.1933,                0.81374,                  1.168,             0.00058017,             0.00058017,             0.00058017
                     62,                 1.0574,                0.66366,                 1.1076,                0.81205,                0.87485,                0.85538,                0.52348,                 1.2003,                0.82794,                 1.1659,             0.00056603,             0.00056603,             0.00056603
                     63,                 1.0576,                0.65426,                 1.0969,                0.81433,                0.88704,                 0.8439,                0.53186,                 1.1736,                0.84225,                 1.1665,             0.00055188,             0.00055188,             0.00055188
                     64,                 1.0499,                0.65948,                 1.0854,                0.81809,                0.87731,                0.84802,                0.52473,                  1.187,                0.83755,                 1.1612,             0.00053773,             0.00053773,             0.00053773
                     65,                 1.0419,                0.65024,                 1.0997,                0.80906,                0.89686,                0.84489,                0.52833,                 1.1684,                 0.8206,                 1.1682,             0.00052359,             0.00052359,             0.00052359
                     66,                 1.0349,                0.64719,                 1.0862,                0.78199,                0.88452,                 0.8396,                0.52743,                 1.1547,                0.82188,                 1.1485,             0.00050944,             0.00050944,             0.00050944
                     67,                 1.0457,                0.64751,                 1.0915,                0.81617,                0.88391,                0.86883,                0.54822,                 1.1568,                0.81002,                 1.1582,             0.00049529,             0.00049529,             0.00049529
                     68,                 1.0399,                0.64674,                 1.0877,                0.82348,                0.88348,                0.85565,                0.54425,                 1.1694,                0.80105,                 1.1557,             0.00048114,             0.00048114,             0.00048114
                     69,                 1.0414,                0.63995,                 1.0927,                0.80886,                0.88344,                0.85656,                0.53076,                  1.195,                0.80532,                 1.1622,               0.000467,               0.000467,               0.000467
                     70,                 1.0323,                0.63347,                 1.0846,                0.83145,                0.88751,                0.85477,                0.53121,                 1.1824,                0.79586,                 1.1662,             0.00045285,             0.00045285,             0.00045285
                     71,                 1.0366,                0.63987,                 1.0971,                0.80356,                0.89036,                0.83951,                0.52682,                 1.1872,                0.81189,                 1.1687,              0.0004387,              0.0004387,              0.0004387
                     72,                 1.0451,                0.63701,                 1.0927,                0.82625,                0.87628,                0.83842,                0.52372,                 1.1898,                0.82341,                 1.1669,             0.00042456,             0.00042456,             0.00042456
                     73,                 1.0301,                0.63563,                 1.0896,                 0.8029,                0.87799,                 0.8505,                0.53553,                 1.1793,                0.79517,                 1.1553,             0.00041041,             0.00041041,             0.00041041
                     74,                 1.0474,                0.63424,                 1.0912,                0.82415,                0.89432,                 0.8717,                0.55685,                 1.1479,                0.78075,                  1.135,             0.00039626,             0.00039626,             0.00039626
                     75,                 1.0133,                0.62607,                  1.082,                0.81006,                0.89659,                0.85385,                0.53567,                 1.1563,                 0.8069,                 1.1594,             0.00038211,             0.00038211,             0.00038211
                     76,                 1.0153,                0.61994,                 1.0798,                 0.8189,                0.88349,                0.85662,                0.54426,                 1.1652,                0.80719,                 1.1493,             0.00036797,             0.00036797,             0.00036797
                     77,                 1.0059,                0.60825,                  1.079,                0.82023,                0.89394,                0.85269,                0.54349,                 1.1646,                0.77784,                 1.1526,             0.00035382,             0.00035382,             0.00035382
                     78,                 1.0275,                0.62509,                 1.0886,                0.83118,                0.89395,                0.85704,                0.53936,                 1.1758,                0.77349,                  1.155,             0.00033967,             0.00033967,             0.00033967
                     79,                 1.0092,                0.61479,                 1.0747,                0.82218,                0.88156,                0.85075,                0.53625,                  1.169,                0.80962,                 1.1523,             0.00032553,             0.00032553,             0.00032553
                     80,                   1.02,                0.62468,                 1.0882,                0.82161,                0.89936,                0.85122,                  0.539,                 1.1577,                0.76292,                 1.1506,             0.00031138,             0.00031138,             0.00031138
                     81,                 1.0057,                0.60606,                 1.0732,                0.83083,                0.88741,                0.85951,                0.54697,                 1.1563,                0.74928,                 1.1426,             0.00029723,             0.00029723,             0.00029723
                     82,                 1.0179,                0.61006,                 1.0785,                0.82646,                0.89089,                0.86091,                0.54964,                 1.1385,                0.78898,                 1.1378,             0.00028308,             0.00028308,             0.00028308
                     83,                 1.0124,                0.61615,                 1.0663,                0.81666,                0.89632,                0.85373,                0.54263,                 1.1473,                 0.7694,                 1.1452,             0.00026894,             0.00026894,             0.00026894
                     84,                 1.0125,                0.61124,                 1.0734,                0.82393,                0.89493,                0.85703,                0.54032,                 1.1644,                0.77958,                 1.1597,             0.00025479,             0.00025479,             0.00025479
                     85,                0.98908,                0.59875,                 1.0721,                0.82529,                0.90056,                0.86072,                0.54461,                 1.1579,                0.75877,                 1.1423,             0.00024064,             0.00024064,             0.00024064
                     86,                0.99062,                0.59098,                 1.0649,                0.82252,                0.88052,                0.85789,                0.54389,                 1.1614,                0.79587,                 1.1459,              0.0002265,              0.0002265,              0.0002265
                     87,                0.99361,                0.59818,                 1.0771,                0.82987,                0.88531,                 0.8526,                 0.5402,                 1.1433,                0.77941,                 1.1447,             0.00021235,             0.00021235,             0.00021235
                     88,                0.98825,                0.59197,                  1.066,                0.81676,                0.88861,                0.85489,                0.54004,                 1.1809,                0.79496,                 1.1579,              0.0001982,              0.0001982,              0.0001982
                     89,                0.99959,                0.59804,                 1.0742,                0.82791,                0.88972,                0.86811,                 0.5498,                 1.1488,                0.76748,                 1.1388,             0.00018406,             0.00018406,             0.00018406
                     90,                0.98591,                0.59097,                 1.0675,                0.81759,                0.89135,                0.85901,                0.54503,                 1.1585,                0.78135,                 1.1482,             0.00016991,             0.00016991,             0.00016991
                     91,                 1.0032,                0.60487,                 1.0976,                0.81061,                0.90219,                0.85746,                0.54037,                 1.1708,                 0.7644,                 1.1589,             0.00015576,             0.00015576,             0.00015576
                     92,                 1.0081,                0.58655,                 1.1007,                0.81951,                0.89816,                0.86192,                0.55023,                 1.1435,                 0.7572,                 1.1421,             0.00014161,             0.00014161,             0.00014161
                     93,                 1.0036,                 0.5791,                 1.0929,                 0.8236,                 0.8947,                0.86403,                0.54634,                   1.15,                0.76095,                 1.1452,             0.00012747,             0.00012747,             0.00012747
                     94,                0.98949,                0.58335,                 1.0852,                0.81859,                0.89917,                 0.8595,                0.54393,                 1.1589,                0.77331,                 1.1624,             0.00011332,             0.00011332,             0.00011332
                     95,                0.98142,                0.56843,                 1.0863,                0.83049,                0.90257,                0.86591,                0.54837,                 1.1566,                0.76957,                 1.1446,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.99682,                0.57495,                 1.1066,                 0.8204,                0.89322,                0.85927,                0.54213,                 1.1704,                0.77504,                 1.1488,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.98439,                 0.5697,                 1.0801,                0.82876,                0.89683,                0.86861,                 0.5475,                 1.1627,                0.76966,                 1.1502,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.97458,                0.55726,                 1.0851,                0.82255,                0.90173,                0.87268,                0.54779,                 1.1672,                0.76441,                 1.1484,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.97459,                0.55481,                 1.0829,                0.81868,                0.90297,                0.86898,                0.54665,                 1.1643,                0.76474,                 1.1459,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.97661,                0.55187,                 1.0773,                0.82685,                0.90809,                0.87174,                 0.5439,                 1.1743,                0.76754,                 1.1506,             2.8437e-05,             2.8437e-05,             2.8437e-05
